1;milk;03052021;0,4;10052021;03052021
2;milk;03052021;0,4;10052021;04052021
3;milk;03052021;0,4;10052021;05052021
4;tea;03052021;0,2;30052021;03052021
5;tea;03052021;0,2;30052021;04052021
6;tea;03052021;0,2;30052021;05052021
7;bread;03052021;0,5;08052021;04052021
8;bread;03052021;0,5;08052021;04052021
9;bread;03052021;0,5;08052021;04052021
10;apple;03052021;0,1;08052021;03052021
11;apple;03052021;0,1;08052021;03052021
12;apple;03052021;0,1;08052021;04052021
13;yoghurt;03052021;0,6;12052021;05052021
14;yoghurt;03052021;0,6;12052021;N
15;cookies;03052021;0,7;20052021;03052021
16;cookies;03052021;0,7;20052021;04052021
17;cookies;03052021;0,7;25052021;N
18;egg;03052021;0,01;15052021;03052021
19;egg;03052021;0,01;15052021;03052021
20;egg;03052021;0,01;15052021;04052021
21;egg;03052021;0,01;15052021;N
22;egg;03052021;0,01;15052021;N
23;egg;03052021;0,01;15052021;N
24;cheese;03052021;0,75;17052021;N
25;cheese;03052021;0,75;17052021;N
26;wine;03052021;1,75;20062021;04052021
27;wine;03052021;1,75;20062021;05052021
28;milk;04052021;0,4;12052021;N
29;milk;04052021;0,4;12052021;N
30;bread;04052021;0,5;06052021;06052021
31;bread;04052021;0,5;06052021;N
32;beer;04052021;0,8;30052021;04052021
33;beer;04052021;0,8;30052021;04052021
34;beer;04052021;0,8;30052021;07052021
35;wine;04052021;1,8;30062021;06052021
36;wine;04052021;1,8;30062021;N
37;wine;06052021;1,8;30062021;N
38;bread;06052021;0,5;07062021;07052021
39;bread;06052021;0,5;07062021;N
40;wine;07052021;1,8;30062021;N
41;wine;07052021;1,8;30062021;N
